Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-2019,9244,9244,9139.45,9182.45,31141851,1479.15
2-Jan-2019,9121.95,9121.95,8885.3,8902.65,80074426,3965.22
3-Jan-2019,8900.05,8959.35,8755.75,8767.35,57987411,3274.09
4-Jan-2019,8807.4,8871.1,8754.05,8809.35,65040904,2844.59
7-Jan-2019,8891.9,8901.6,8809.9,8820,74853665,2538.93
8-Jan-2019,8813.9,8882.3,8781.8,8859.65,69837622,2725.2
9-Jan-2019,8893.9,8925.6,8827.9,8907.1,63915954,2223.18
10-Jan-2019,8924.65,8964.15,8908.05,8933.35,65217864,1945.68
11-Jan-2019,8942.05,8950.3,8816.9,8862.35,55529471,1802.7
14-Jan-2019,8859.1,8863.55,8752.1,8849.7,42617093,1448.16
15-Jan-2019,8877.35,8902.3,8845.5,8888.4,39982618,1519.01
16-Jan-2019,8894.1,8916.4,8856.75,8866.75,36040650,1307.08
17-Jan-2019,8893.2,8920.8,8850.25,8878.2,34385129,1640.58
18-Jan-2019,8898.95,8907.65,8806.05,8844.8,30451018,1278.1
21-Jan-2019,8859.65,8867.2,8725.25,8746.85,33802275,1606.48
22-Jan-2019,8726.05,8726.05,8580,8675.15,66674234,2841.14
23-Jan-2019,8679.85,8693.7,8594.2,8612.25,44701045,1911.71
24-Jan-2019,8623.2,8632.1,8510.4,8537.25,63934687,1723.43
25-Jan-2019,8538.7,8587.7,8241.1,8259.8,59732289,3576.47
28-Jan-2019,8259.55,8264.6,8092.85,8143,55235426,3137.57
29-Jan-2019,8127.65,8178.75,8059.45,8120.45,58347276,2543.98
30-Jan-2019,8149.25,8176.45,8080.2,8118.4,46436797,2254.3
31-Jan-2019,8145.15,8236.55,8083.9,8218.4,82045633,2905.39
1-Feb-2019,8265.5,8657.8,8254.15,8441.25,114415843,5253.56
4-Feb-2019,8444.75,8446,8325.75,8395.55,54660012,2355.51
5-Feb-2019,8410.6,8489.7,8408.25,8468.3,54040095,2102.94
6-Feb-2019,8490.2,8593.55,8441.5,8567.4,41261679,1819.74
7-Feb-2019,8584.6,8756.25,8581,8736.7,82981307,2669.17
8-Feb-2019,8639.95,8643.85,8399.9,8420.35,173156396,4293.96
11-Feb-2019,8364.55,8365.9,8257.9,8320.3,81645832,2877.07
12-Feb-2019,8312.5,8344.85,8259.2,8278.1,54349458,2163.44
13-Feb-2019,8300.3,8310.6,8161.3,8177.55,58644438,2612.08
14-Feb-2019,8178.1,8268.35,8166.7,8223.35,80697005,2312.7
15-Feb-2019,8228.2,8236.7,8057.15,8132.55,99047864,2786.07
18-Feb-2019,8156.9,8156.9,8035.55,8067.7,46562219,1645.17
19-Feb-2019,8089.3,8162.2,8061.85,8073.4,65194176,1764.8
20-Feb-2019,8111.7,8132.45,8072.9,8121.5,63344986,1927.11
21-Feb-2019,8136.65,8175.55,8056.45,8156.75,55711185,1943.55
22-Feb-2019,8178.2,8289.25,8156.5,8278.95,73433607,2274.89
25-Feb-2019,8309.9,8381.4,8307.55,8371.45,91376146,2243.91
26-Feb-2019,8315.95,8442,8234.55,8399.1,95423504,2763.01
27-Feb-2019,8443.3,8533.15,8343.65,8420.05,83778076,2668.72
28-Feb-2019,8486.2,8486.2,8343.8,8355.15,99546391,3386.45
1-Mar-2019,8408.3,8440.25,8362.8,8413.65,93506677,2805.26
5-Mar-2019,8417.35,8698.2,8376.7,8676.6,134156514,4556.53
6-Mar-2019,8702.55,8706.8,8599.4,8651.75,87596813,2834.72
7-Mar-2019,8678.8,8680.2,8580.7,8635.7,77218895,2407.7
8-Mar-2019,8609.15,8632.9,8565.75,8582.6,67598260,2475.41
11-Mar-2019,8610,8793.55,8607.85,8782.7,82518870,3327.89
