Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-19,11608.55,11718,11526.75,11702.05,55575390,3063.65
2-Jan-19,11660.4,11697.85,11535.95,11586.2,87236751,4603.95
3-Jan-19,11590.9,11602.15,11447.85,11458.95,83532681,4843.49
4-Jan-19,11486.1,11591.7,11457.7,11572.45,83269222,4287.28
7-Jan-19,11635.65,11663.55,11575.9,11591.6,75242791,3816.29
8-Jan-19,11600.15,11646,11527.9,11635.45,84817002,4585.81
9-Jan-19,11684.95,11752.15,11616,11740.75,97787503,5224.44
10-Jan-19,11736.2,11741.55,11660.15,11675.5,81030931,4168.72
11-Jan-19,11694.1,11734.05,11629.9,11690.85,65484465,3426.84
14-Jan-19,11662.25,11662.5,11552,11589.9,58677496,3201.04
15-Jan-19,11620.7,11684.25,11609.4,11675.3,56574366,3230.17
16-Jan-19,11670.75,11719.5,11638.55,11653.35,63313075,3588.51
17-Jan-19,11691.9,11733.45,11620.5,11703.55,85387508,4759.72
18-Jan-19,11715.8,11724.15,11649.55,11678.25,55914762,3155.8
21-Jan-19,11689.15,11744.9,11632.5,11717.35,57872411,4620.76
22-Jan-19,11704.8,11706.95,11630.8,11670.1,73095813,5052.65
23-Jan-19,11672.2,11687.7,11529.5,11556.6,78169379,4175.66
24-Jan-19,11567.25,11579.05,11504.1,11545.15,66761204,3644.81
25-Jan-19,11531.2,11607.75,11457.25,11483.6,76741076,4152.85
28-Jan-19,11460.55,11482.3,11223.05,11266.5,101898516,5732.89
29-Jan-19,11249.75,11289.55,11148.5,11224.8,108059871,7501.17
30-Jan-19,11307.05,11323.9,11215.15,11275.2,160795062,10028.17
31-Jan-19,11315,11465.35,11273.85,11456.4,221490816,11649.68
1-Feb-19,11476.95,11614.65,11396.05,11460.9,146500667,7962.67
4-Feb-19,11420.15,11518.85,11357.05,11492.65,83694042,4513.61
5-Feb-19,11506.65,11533.85,11453.35,11519.55,67714818,3761.55
6-Feb-19,11542,11620.9,11536.75,11610.15,70106442,4086.17
7-Feb-19,11622.15,11685.15,11576.15,11606.5,80525655,4506.48
8-Feb-19,11563.6,11632.3,11513.75,11540.25,84057484,4720.85
11-Feb-19,11524.95,11531.75,11467.75,11488.75,75574587,4013.23
12-Feb-19,11474.2,11516.55,11358.6,11368.8,86171231,4865.13
13-Feb-19,11392,11444.1,11348,11369.3,80733937,4497.59
14-Feb-19,11363.85,11365.25,11267.85,11304.75,103789220,4902.33
15-Feb-19,11315.05,11320.65,11138.1,11213.9,103340691,4951.28
18-Feb-19,11223.7,11254.45,11134.6,11148.25,68309994,3516.76
19-Feb-19,11144.55,11285.45,11136.4,11158.1,83451429,3900.03
20-Feb-19,11207.95,11299.35,11187.75,11287.7,68419631,3537.56
21-Feb-19,11299.65,11401.65,11291.25,11386.8,89607198,4242.66
22-Feb-19,11362.15,11372.7,11309.5,11319.75,161167957,14530.59
25-Feb-19,11353.9,11416.9,11330.45,11406.7,85721953,4493.53
26-Feb-19,11278.8,11362,11231.95,11294.85,89813590,5432.79
27-Feb-19,11352.1,11398.05,11188.2,11234.1,93980704,5265.85
28-Feb-19,11271.05,11285.1,11215.5,11227.4,151365951,7710.83
1-Mar-19,11284.85,11330.15,11266.3,11308.15,79425580,4167.5
5-Mar-19,11313.5,11507.2,11259.25,11500.55,116964577,6040.63
