"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","     8890.55","     8929.70","     8852.65","     8881.95","       15067976","          928.68"
"02-Jan-2019","     8856.00","     8884.10","     8765.30","     8839.95","       17507064","         1137.12"
"03-Jan-2019","     8856.50","     8867.55","     8704.50","     8722.30","       17524453","         1162.22"
"04-Jan-2019","     8744.70","     8804.05","     8683.80","     8788.05","       14334888","         1002.66"
"07-Jan-2019","     8840.60","     8847.15","     8711.50","     8732.65","       11250480","          856.41"
"08-Jan-2019","     8764.10","     8873.15","     8754.15","     8864.75","       24540974","         1591.42"
"09-Jan-2019","     8898.50","     8930.45","     8831.80","     8906.70","       18627451","         1217.84"
"10-Jan-2019","     8878.70","     8945.25","     8866.35","     8934.80","       14213671","         1090.30"
"11-Jan-2019","     8943.60","     8968.65","     8867.45","     8902.45","       14554810","         1066.37"
"14-Jan-2019","     8915.70","     8961.25","     8879.70","     8949.30","       15814303","         1084.63"
"15-Jan-2019","     8984.95","     9035.40","     8958.60","     9027.50","       12386216","          879.84"
"16-Jan-2019","     9019.40","     9069.50","     8989.75","     9054.20","       15568463","         1193.54"
"17-Jan-2019","     9069.60","     9097.55","     8905.40","     8930.50","       17945053","         1270.43"
"18-Jan-2019","     8911.75","     8912.55","     8616.85","     8689.60","       95830878","         4259.31"
"21-Jan-2019","     8694.20","     8833.70","     8694.20","     8734.70","       58196942","         2796.72"
"22-Jan-2019","     8791.85","     8903.30","     8783.05","     8892.60","       46972600","         2462.55"
"23-Jan-2019","     8905.20","     8969.50","     8855.10","     8946.20","       35862545","         1990.64"
"24-Jan-2019","     8956.45","     9001.05","     8845.95","     8894.50","       26561259","         1534.67"
"25-Jan-2019","     8928.80","     8960.65","     8851.75","     8891.00","       23387485","         1549.47"
"28-Jan-2019","     8886.15","     8886.15","     8638.25","     8663.90","       19761512","         1465.04"
"29-Jan-2019","     8635.15","     8786.55","     8562.35","     8756.90","       19234227","         1399.00"
"30-Jan-2019","     8771.50","     8784.00","     8692.90","     8734.60","       13831146","         1094.88"
"31-Jan-2019","     8748.45","     8866.55","     8713.80","     8825.35","       27552682","         1824.29"
"01-Feb-2019","     8810.65","     8991.95","     8806.40","     8969.55","       13283646","         1292.93"
"04-Feb-2019","     8992.10","     8998.25","     8772.90","     8811.90","       16734080","         1782.42"
"05-Feb-2019","     8828.50","     8887.45","     8764.50","     8800.60","       16548155","         1479.92"
"06-Feb-2019","     8803.40","     8955.00","     8703.40","     8906.90","       27887243","         2046.91"
"07-Feb-2019","     8937.95","     9088.55","     8937.95","     9056.15","       39478146","         2236.43"
"08-Feb-2019","     9060.80","     9060.80","     8921.60","     8984.85","       21851100","         1620.06"
"11-Feb-2019","     8924.95","     8957.30","     8772.60","     8838.00","       17150131","         1532.25"
"12-Feb-2019","     8839.90","     8948.05","     8795.25","     8904.95","       19299020","         1465.50"
"13-Feb-2019","     9000.10","     9009.15","     8803.55","     8839.75","       44822609","         2551.77"
"14-Feb-2019","     8835.50","     8944.65","     8809.70","     8920.90","       19213640","         1266.99"
"15-Feb-2019","     8890.95","     8893.45","     8252.10","     8643.30","       35521729","         3497.71"
"18-Feb-2019","     8703.60","     8744.25","     8560.50","     8573.95","       19994581","         1813.29"
"19-Feb-2019","     8611.10","     8636.95","     8539.75","     8552.70","       16696437","         1603.79"
"20-Feb-2019","     8600.95","     8621.00","     8551.45","     8606.35","       14220463","         1255.62"
"21-Feb-2019","     8632.25","     8721.95","     8606.05","     8706.35","       13874084","         1178.74"
"22-Feb-2019","     8718.60","     8778.40","     8698.85","     8772.60","       13065998","         1168.72"
"25-Feb-2019","     8795.35","     8858.20","     8738.10","     8816.20","       17236808","         1419.68"
"26-Feb-2019","     8733.95","     8869.80","     8659.10","     8829.45","       16631377","         1310.64"
"27-Feb-2019","     8859.55","     8975.40","     8799.45","     8866.20","       23523570","         1511.17"
"28-Feb-2019","     8918.95","     8934.40","     8871.40","     8884.85","       27133882","         1670.22"
"01-Mar-2019","     8909.00","     8993.80","     8882.20","     8972.65","       16221791","         1206.72"
"05-Mar-2019","     8975.20","     9066.40","     8937.90","     9054.65","       16054127","         1159.33"
"06-Mar-2019","     9088.45","     9193.05","     9026.60","     9155.00","       23513017","         1692.73"
"07-Mar-2019","     9129.65","     9209.15","     9021.50","     9045.65","       24337312","         1727.90"
"08-Mar-2019","     9038.85","     9085.20","     9007.80","     9021.85","       15832832","         1204.68"
"11-Mar-2019","     9052.95","     9168.45","     9047.15","     9155.05","       14435244","         1224.71"
"12-Mar-2019","     9212.60","     9345.10","     9202.70","     9274.80","       24787689","         1785.07"
"13-Mar-2019","     9298.70","     9318.15","     9070.60","     9100.25","       21196190","         1526.23"
"14-Mar-2019","     9102.10","     9209.20","     9077.35","     9184.90","       20139736","         1492.33"
"15-Mar-2019","     9203.95","     9256.25","     9178.60","     9221.75","       22485358","         1760.76"
"18-Mar-2019","     9224.05","     9240.90","     9133.80","     9204.95","       15522222","         1172.08"
"19-Mar-2019","     9230.70","     9312.20","     9216.30","     9244.60","       15986878","         1233.57"
"20-Mar-2019","     9259.30","     9300.80","     9231.65","     9264.50","       12715415","         1141.42"
"22-Mar-2019","     9298.50","     9338.30","     9188.10","     9199.35","       14418569","         1071.96"
"25-Mar-2019","     9159.95","     9181.80","     9081.55","     9170.15","       14737955","         1210.48"
"26-Mar-2019","     9210.60","     9259.70","     9164.40","     9245.00","       13186432","          964.52"
"27-Mar-2019","     9267.40","     9322.05","     9120.30","     9148.80","       14888686","         1110.60"
