"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","     3105.00","     3148.60","     3072.25","     3137.20","       92195422","         1259.89"
"02-Jan-2019","     3133.65","     3164.30","     3068.25","     3077.50","      134195521","         1929.79"
"03-Jan-2019","     3087.65","     3092.15","     3044.70","     3054.15","      117450261","         1583.14"
"04-Jan-2019","     3066.10","     3133.50","     3054.05","     3125.10","      132247503","         1750.94"
"07-Jan-2019","     3159.15","     3164.15","     3097.80","     3109.10","       90078601","         1193.17"
"08-Jan-2019","     3105.85","     3202.45","     3093.15","     3195.30","       95370243","         1497.05"
"09-Jan-2019","     3204.85","     3214.50","     3143.10","     3187.40","      112217115","         1614.56"
"10-Jan-2019","     3183.95","     3208.70","     3169.45","     3188.85","       69210306","         1044.40"
"11-Jan-2019","     3189.50","     3195.95","     3144.35","     3160.00","       72732128","         1020.74"
"14-Jan-2019","     3144.00","     3177.10","     3125.95","     3145.25","       83790069","         1070.75"
"15-Jan-2019","     3160.85","     3174.65","     3144.40","     3151.10","       57318603","          793.92"
"16-Jan-2019","     3161.85","     3207.70","     3154.45","     3170.00","       84705781","         1119.26"
"17-Jan-2019","     3177.80","     3182.00","     3099.15","     3120.40","       76207880","         1113.99"
"18-Jan-2019","     3131.90","     3140.30","     3076.05","     3083.95","       60049969","          792.81"
"21-Jan-2019","     3093.30","     3100.90","     3032.40","     3043.45","       88298977","         1061.03"
"22-Jan-2019","     3045.55","     3048.10","     2998.40","     3013.45","       77083491","          964.24"
"23-Jan-2019","     3016.30","     3039.75","     2965.25","     2975.00","       65641944","          823.88"
"24-Jan-2019","     2977.15","     3008.35","     2964.45","     2991.70","       68072669","          898.61"
"25-Jan-2019","     3006.90","     3021.05","     2928.25","     2950.65","       77203128","         1032.91"
"28-Jan-2019","     2955.55","     2965.75","     2872.45","     2903.55","       97643394","         1425.54"
"29-Jan-2019","     2896.90","     2968.60","     2879.00","     2920.40","      150712361","         1883.53"
"30-Jan-2019","     2932.85","     2991.75","     2916.05","     2976.40","      107455900","         1461.44"
"31-Jan-2019","     3000.10","     3035.95","     2967.50","     3025.80","       96597168","         1455.78"
"01-Feb-2019","     3058.60","     3100.95","     2904.65","     2931.45","      166561060","         2781.85"
"04-Feb-2019","     2914.55","     2927.55","     2861.40","     2916.75","      114809802","         1383.45"
"05-Feb-2019","     2922.35","     2944.80","     2890.30","     2910.20","      140589738","         1433.37"
"06-Feb-2019","     2922.95","     2958.40","     2886.60","     2951.50","       94377991","         1059.69"
"07-Feb-2019","     2955.40","     3002.20","     2930.45","     2940.60","       92303702","         1237.49"
"08-Feb-2019","     2922.45","     2924.35","     2872.25","     2895.80","      109776257","         1336.22"
"11-Feb-2019","     2895.35","     2895.45","     2841.35","     2845.40","       71279319","          902.99"
"12-Feb-2019","     2847.40","     2867.30","     2793.40","     2799.60","       69670893","          903.88"
"13-Feb-2019","     2811.60","     2813.65","     2728.00","     2740.80","       75649780","         1030.87"
"14-Feb-2019","     2739.00","     2754.30","     2709.70","     2748.80","       96394212","         1350.36"
"15-Feb-2019","     2763.05","     2763.05","     2678.45","     2694.40","       92506265","         1231.05"
"18-Feb-2019","     2705.65","     2718.45","     2650.65","     2660.80","       72729406","          861.90"
"19-Feb-2019","     2670.90","     2745.30","     2666.05","     2696.30","       98998844","         1245.75"
"20-Feb-2019","     2711.00","     2748.30","     2711.00","     2742.65","       75284607","          934.35"
