Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-19,30579.1,30613.2,30259.65,30398.45,10324249,730.34
2-Jan-19,30347.6,30455.1,29985.8,30195.2,23768072,1510.5
3-Jan-19,30187.8,30479.3,30122.1,30189.2,20217241,1252.16
4-Jan-19,30256.1,30350.3,30085.5,30190.2,20339807,1327.42
7-Jan-19,30440.9,30491.2,30241.9,30282.6,20899470,1128.42
8-Jan-19,30341.85,30385.1,30159.7,30272,18731288,1195.03
9-Jan-19,30404.7,30640.7,30331.05,30577.35,24818176,1459.78
10-Jan-19,30614.55,30774.3,30519.25,30571.65,19305431,1139.49
11-Jan-19,30704.45,30849.25,30611.95,30759.05,25793965,1292.49
14-Jan-19,30735.1,30753,30456.8,30716.4,16657850,959.76
15-Jan-19,30797.2,31045.9,30759.9,31011.05,20150165,1256.89
16-Jan-19,30995.25,31040.85,30691,30783.85,17921690,1233.81
17-Jan-19,30822.3,30912.8,30514.95,30737.25,21370739,1338.35
18-Jan-19,30727.8,30855.95,30461.3,30540.35,21911405,1416.66
21-Jan-19,30626.7,30727.4,30403,30485,19604898,1382.95
22-Jan-19,30486.3,30592.4,30205.35,30507.6,22864495,1510.02
23-Jan-19,30620,30854.55,29869.75,29991.4,51981317,2288.37
24-Jan-19,30118.75,30264.55,29983.4,30036.75,42081326,1999
25-Jan-19,30125.8,30331.1,29856.25,29938.05,22428348,1434.35
28-Jan-19,29951.8,29991.3,29533.5,29565.55,19921938,1136.2
29-Jan-19,29561.55,29842.1,29488.7,29758.9,17781812,1087.29
30-Jan-19,29853.9,29857.55,29337.35,29463.85,30784000,2077.09
31-Jan-19,29571.8,29872.75,29450.6,29800.55,47908371,2732.29
1-Feb-19,29936.1,30536.6,29872.2,30199.9,43443621,2750.68
4-Feb-19,30233,30299.35,29889.2,30008.9,19318602,1354.11
5-Feb-19,30023.95,30053.65,29695.35,29759.85,37339130,2542.08
6-Feb-19,29883.35,30074.65,29805.6,30029,28548850,2123.02
7-Feb-19,30091.65,30319.5,30034.45,30266.3,22339374,1575.51
