Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-19,14426.45,14480.55,14357.05,14450.9,14008384,719.2
2-Jan-19,14467.4,14593.85,14371,14447.1,27024498,1623.15
3-Jan-19,14479.75,14542.3,14276.5,14322.15,25156380,1666.52
4-Jan-19,14332.65,14359.2,13958.85,14146.15,32610951,2333.04
7-Jan-19,14238.05,14316,14204.65,14291.5,23053554,1489.59
8-Jan-19,14344.6,14357.75,14238.2,14285.7,30284463,1787.02
9-Jan-19,14417.2,14495.7,14162.2,14326.05,39777101,2534.27
10-Jan-19,14388.85,14393.45,14272.25,14323.25,25385563,1726.05
11-Jan-19,14288.95,14326.9,14134.25,14307.1,36388890,3354.29
14-Jan-19,14474.5,14495.7,14196,14223.6,41011605,2803.59
15-Jan-19,14265.7,14685.5,14262.4,14658.5,82293752,4173.94
16-Jan-19,14688.85,14732.75,14610.1,14707.8,41887904,2152.28
17-Jan-19,14714.25,14813.9,14660.05,14800.25,38250488,2541.57
18-Jan-19,14744.05,14923.75,14709.45,14892.95,34624811,2132.03
21-Jan-19,14920.35,15100.2,14850,14966.4,45511115,2765.18
22-Jan-19,14927.15,15019.6,14814.95,14962.6,33064975,2295.21
23-Jan-19,14975.2,15003.85,14856.85,14888.75,37429423,2544.04
24-Jan-19,14897.45,15003.55,14793.25,14971.85,33165996,1848.91
25-Jan-19,14952.75,15161.2,14927.25,15039.25,39347664,1985.66
28-Jan-19,15085.05,15161.7,15026.75,15120.1,35878523,2037.27
29-Jan-19,15126.15,15293,14986.7,15231.3,31191349,1972.02
30-Jan-19,15304,15381.45,15192.4,15255.2,37418911,2350.85
31-Jan-19,15299.45,15513.45,15276.05,15499.3,47438828,3095.84
1-Feb-19,15522.55,15751.75,15485.7,15724.3,29344350,2007.39
4-Feb-19,15727.2,15819.7,15635.9,15754.8,23254965,1305.67
5-Feb-19,15709,15812.15,15634.95,15738.7,26077745,1193.27
6-Feb-19,15857.7,16090.7,15835.7,16055.6,44339473,2544.02
7-Feb-19,16045.55,16167.85,16031.15,16085.85,30232353,1525.91
8-Feb-19,16001.15,16145.7,15979.8,16019.8,25548817,1771.19
11-Feb-19,16050.2,16159.05,16002.5,16099.05,22644494,1592.52
12-Feb-19,16093.45,16094.6,15788.1,15938.6,33477588,1842.84
13-Feb-19,15958.4,16087.3,15885.3,16041.65,28680952,1679.8
14-Feb-19,15992.45,16002.2,15828.85,15861.65,25024087,1390.32
15-Feb-19,15898.4,15912.45,15620.45,15815.6,55717193,1769.87
18-Feb-19,15895.5,15948.1,15618.05,15659,30337931,1910.98
19-Feb-19,15644.05,15651.9,15287.5,15333.5,28734431,2237.58
20-Feb-19,15382.45,15651.7,15330.8,15609.45,33005377,2140.99
21-Feb-19,15609.15,15691.4,15492.2,15588.9,40924365,3161.58
22-Feb-19,15582.8,15717.3,15543.5,15684.7,26504046,1638.83
25-Feb-19,15738.95,16029.95,15729.25,16003.7,25015005,1827.72
26-Feb-19,15933.8,16069.4,15874.95,15989.6,33173348,2846.89
27-Feb-19,15983.8,16007.65,15803.7,15902.1,39729486,2502.14
28-Feb-19,15974.1,15974.1,15694.85,15732,48900361,3746.36
1-Mar-19,15778.15,15871.1,15752.2,15848.3,31816077,2135.47
5-Mar-19,15839.2,15839.2,15634.55,15664.1,55372214,2188.17
6-Mar-19,15732.35,15814.7,15681.1,15735.05,66054615,2396.5
7-Mar-19,15788.15,15788.15,15558.95,15582.1,35405290,2226.77
8-Mar-19,15544.35,15545.65,15388.2,15408.7,47183037,2172.98
11-Mar-19,15432.9,15500.75,15349.6,15388.5,66030778,2384.96
12-Mar-19,15408.85,15497.2,15349.8,15384.55,50310706,2372.1
13-Mar-19,15442.25,15550.85,15300.25,15342.9,49018707,2560.27
14-Mar-19,15422.6,15437.05,15202.05,15260.45,39544967,1851.65
15-Mar-19,15346,15649.25,15324.85,15546.6,55791714,3631.75
18-Mar-19,15614.8,15661.3,15304.75,15359.45,30222245,2046.39
19-Mar-19,15432.5,15545.45,15296,15495.55,33434307,2268.18
20-Mar-19,15563.95,15735.25,15554.45,15599.25,43418330,2957.05
22-Mar-19,15652.3,15652.3,15462.2,15551.1,32634674,2167.76
25-Mar-19,15579.05,15579.05,15388.4,15416.85,28304864,1661.72
26-Mar-19,15415.5,15426.25,15218.25,15356.6,28385813,1993.57
27-Mar-19,15352.6,15421.85,15307.1,15339.4,27539227,1842.83
28-Mar-19,15410.35,15636.5,15399.45,15566.75,38025265,2708.83
29-Mar-19,15681.6,15729.5,15578.2,15628.2,28698651,2018.41
1-Apr-19,15668.8,15922.05,15662.55,15840.65,27734179,1820.31
2-Apr-19,15902.9,16013.25,15874.65,15988.4,25358268,2111.92
3-Apr-19,15996.5,16009.85,15862.5,15962.95,25163308,1951.19
4-Apr-19,15947.8,15954.15,15691,15744.8,31363340,2417.67
5-Apr-19,15800.45,15952.5,15759.8,15923.05,23506932,1788.82
8-Apr-19,15982.85,16061.3,15857.15,16028.25,22086073,1657.23
9-Apr-19,16048.25,16203.25,15999.65,16121.6,34843987,2244.02
10-Apr-19,16138.85,16172.8,15978.2,15999.15,56982204,2576.87
11-Apr-19,16018,16030.85,15852.3,15874.75,37532853,2101.12
12-Apr-19,15918.1,15989.7,15832,15911.1,52345311,1994.03
15-Apr-19,15917.7,16136.6,15862,16113.7,88386836,5271.6
16-Apr-19,16166.15,16176.6,16064.35,16084.9,70237133,3306.17
18-Apr-19,16177.85,16177.85,16021,16079.3,72219746,3695.11
22-Apr-19,16077.55,16204.3,16057.9,16150.6,30038085,1640.08
23-Apr-19,16179.45,16193.6,16082.45,16166.3,33651817,1436.58
24-Apr-19,16182.9,16405.8,16161.35,16370.35,40592814,2339.67
25-Apr-19,16361,16388.55,16299.2,16352.75,43108679,2776.8
26-Apr-19,16393.8,16523.75,16381.45,16504.45,26445478,1806.84
