"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","     2571.60","     2581.75","     2542.05","     2574.15","        8650141","          237.63"
"02-Jan-2019","     2561.25","     2575.00","     2511.40","     2540.50","       11649824","          270.89"
"03-Jan-2019","     2552.15","     2552.30","     2485.35","     2491.70","       12347460","          377.40"
"04-Jan-2019","     2499.05","     2526.55","     2471.45","     2519.15","       14279465","          352.53"
"07-Jan-2019","     2539.10","     2544.30","     2509.60","     2527.20","       25145223","          327.84"
"08-Jan-2019","     2529.20","     2531.55","     2485.85","     2495.90","       19187139","          350.98"
"09-Jan-2019","     2509.45","     2536.65","     2490.30","     2494.95","       22376997","          543.64"
"10-Jan-2019","     2498.65","     2512.40","     2491.15","     2496.95","       11392896","          322.29"
"11-Jan-2019","     2505.25","     2512.60","     2487.50","     2496.35","       12029148","          269.48"
"14-Jan-2019","     2495.75","     2496.65","     2456.50","     2471.85","       12399337","          230.80"
"15-Jan-2019","     2481.00","     2517.95","     2480.85","     2501.65","       35644032","          540.79"
"16-Jan-2019","     2535.80","     2559.30","     2474.00","     2480.40","       33276284","         1061.61"
"17-Jan-2019","     2486.25","     2498.15","     2408.70","     2428.70","       28779470","          555.81"
"18-Jan-2019","     2434.40","     2435.90","     2379.65","     2389.60","       28418563","          651.73"
"21-Jan-2019","     2402.45","     2404.20","     2369.90","     2375.95","       26410827","          492.40"
"22-Jan-2019","     2375.60","     2376.35","     2324.60","     2343.25","       29972707","          525.86"
"23-Jan-2019","     2345.45","     2400.40","     2343.80","     2373.75","       98626190","         1070.98"
"24-Jan-2019","     2381.65","     2397.75","     2342.45","     2369.60","       30045694","          746.05"
"25-Jan-2019","     2391.15","     2394.55","     1895.90","     1981.60","      197517889","         3219.79"
"28-Jan-2019","     2079.35","     2169.55","     1973.55","     2147.55","      319349747","         5016.44"
"29-Jan-2019","     2136.55","     2198.65","     2115.70","     2160.20","      117117809","         1774.58"
