"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","     3162.25","     3164.05","     3122.40","     3135.25","       40505072","          773.70"
"02-Jan-2019","     3095.55","     3097.10","     3021.65","     3028.45","       96283282","         1973.20"
"03-Jan-2019","     3030.90","     3031.15","     2956.20","     2960.40","       89885691","         1955.71"
"04-Jan-2019","     2959.25","     3013.35","     2949.30","     3001.70","       89989395","         1775.19"
"07-Jan-2019","     3040.65","     3055.30","     2991.45","     2997.10","       66062618","         1429.98"
"08-Jan-2019","     3000.55","     3021.35","     2987.60","     3010.30","       71438988","         1399.20"
"09-Jan-2019","     3020.40","     3031.70","     2951.90","     2975.50","       90222621","         1775.79"
"10-Jan-2019","     2979.70","     2990.05","     2961.15","     2972.35","       58939337","         1154.94"
"11-Jan-2019","     2980.30","     3003.50","     2961.60","     2971.25","       60820607","         1250.51"
"14-Jan-2019","     2969.70","     2969.75","     2930.10","     2939.35","       56454301","          999.72"
"15-Jan-2019","     2953.30","     2989.75","     2937.00","     2986.30","       64651310","         1249.92"
"16-Jan-2019","     2997.65","     3003.95","     2963.15","     2967.05","       61573323","         1093.10"
"17-Jan-2019","     2974.90","     2981.65","     2948.10","     2963.05","       56460592","          964.40"
"18-Jan-2019","     2969.75","     2980.30","     2940.75","     2957.10","       49723159","          935.83"
"21-Jan-2019","     2967.20","     2975.40","     2938.75","     2945.80","       43679406","          823.40"
"22-Jan-2019","     2936.05","     2936.05","     2864.50","     2880.65","       71433596","         1363.09"
"23-Jan-2019","     2881.30","     2921.20","     2877.35","     2896.90","       56023579","         1057.77"
"24-Jan-2019","     2899.95","     2902.10","     2864.15","     2893.50","       43614797","          812.47"
"25-Jan-2019","     2905.95","     2921.60","     2846.95","     2857.55","       51696479","          893.64"
"28-Jan-2019","     2859.20","     2862.20","     2802.35","     2827.15","       54734856","          908.00"
"29-Jan-2019","     2823.75","     2846.35","     2803.75","     2828.35","       48811996","          866.40"
"30-Jan-2019","     2835.05","     2892.35","     2830.80","     2882.05","       76238031","         1491.29"
"31-Jan-2019","     2899.85","     2920.35","     2875.60","     2915.85","      106481396","         1808.84"
"01-Feb-2019","     2867.90","     2867.90","     2777.30","     2815.65","      163561461","         2750.71"
"04-Feb-2019","     2814.30","     2815.90","     2737.25","     2794.45","       83039665","         1545.64"
"05-Feb-2019","     2791.75","     2806.60","     2749.25","     2768.30","       61569729","         1139.48"
"06-Feb-2019","     2776.35","     2842.50","     2741.25","     2832.95","       71753345","         1391.72"
"07-Feb-2019","     2829.85","     2855.05","     2806.60","     2835.80","       66561603","         1189.44"
"08-Feb-2019","     2821.65","     2826.90","     2731.70","     2740.50","       93084422","         1371.96"
"11-Feb-2019","     2739.60","     2756.10","     2675.50","     2725.20","      116314919","         2193.84"
