"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","    15324.40","    15410.40","    15203.15","    15391.45","       70169618","         2726.82"
"02-Jan-2019","    15330.05","    15405.15","    15237.05","    15300.55","      112294224","         3157.59"
"03-Jan-2019","    15303.30","    15313.90","    15154.35","    15178.95","       81767463","         2897.32"
"04-Jan-2019","    15196.45","    15347.40","    15135.55","    15302.75","      130009517","         3337.98"
"07-Jan-2019","    15403.90","    15486.10","    15372.50","    15391.30","      124612906","         3352.41"
"08-Jan-2019","    15389.50","    15544.45","    15315.75","    15520.50","      107590614","         3396.84"
"09-Jan-2019","    15599.35","    15687.30","    15476.30","    15665.55","      167309113","         5232.46"
"10-Jan-2019","    15663.40","    15663.40","    15491.00","    15527.30","      141589791","         3647.68"
"11-Jan-2019","    15576.40","    15583.35","    15435.05","    15484.05","       91441859","         2884.57"
"14-Jan-2019","    15448.25","    15448.40","    15311.30","    15353.65","      174383313","         4207.94"
"15-Jan-2019","    15391.10","    15453.70","    15390.75","    15429.95","      137502048","         3394.25"
"16-Jan-2019","    15429.05","    15528.55","    15427.00","    15485.50","      150947903","         3437.02"
"17-Jan-2019","    15538.00","    15588.10","    15423.10","    15537.80","      182748957","         4191.55"
"18-Jan-2019","    15541.10","    15559.85","    15475.95","    15505.80","      107654633","         2874.36"
"21-Jan-2019","    15524.05","    15586.35","    15446.05","    15552.45","      147521427","         4145.49"
"22-Jan-2019","    15548.05","    15567.45","    15494.50","    15557.40","      122494491","         4121.00"
"23-Jan-2019","    15568.15","    15622.30","    15421.05","    15459.65","      103713038","         3024.55"
"24-Jan-2019","    15468.80","    15529.20","    15368.60","    15466.55","      181602419","         4801.32"
"25-Jan-2019","    15470.35","    15586.10","    15338.50","    15384.80","      258165743","         6713.70"
"28-Jan-2019","    15335.80","    15381.60","    15024.50","    15072.30","      144986306","         4596.06"
"29-Jan-2019","    15057.60","    15132.65","    14955.00","    15053.85","      152415391","         4415.36"
"30-Jan-2019","    15216.35","    15304.30","    15163.70","    15242.20","      197837726","         7969.13"
"31-Jan-2019","    15341.90","    15517.00","    15278.00","    15495.10","      270668761","         8973.16"
"01-Feb-2019","    15503.00","    15592.85","    15265.40","    15382.10","      149017841","         4695.59"
"04-Feb-2019","    15300.65","    15469.70","    15228.70","    15441.25","      131779962","         3448.72"
"05-Feb-2019","    15463.20","    15541.15","    15425.15","    15491.00","      107243926","         3140.04"
"06-Feb-2019","    15520.10","    15566.60","    15499.70","    15541.75","      126935955","         3160.64"
"07-Feb-2019","    15551.50","    15648.95","    15505.10","    15552.85","      124743197","         2793.91"
"08-Feb-2019","    15510.55","    15594.30","    15458.85","    15493.50","      106715775","         2973.56"
"11-Feb-2019","    15468.65","    15498.40","    15396.00","    15449.25","       87984508","         2558.87"
"12-Feb-2019","    15402.75","    15474.85","    15315.75","    15331.05","       96624152","         3117.28"
"13-Feb-2019","    15357.35","    15386.40","    15236.85","    15257.35","       84185339","         2611.65"
"14-Feb-2019","    15339.20","    15417.45","    15254.90","    15386.40","      327310457","         8023.70"
"15-Feb-2019","    15416.85","    15429.10","    15201.20","    15299.05","      209766650","         5579.66"
"18-Feb-2019","    15246.50","    15312.65","    15212.95","    15233.40","      140472106","         3637.34"
"19-Feb-2019","    15235.70","    15431.15","    15199.10","    15239.80","       82982786","         2481.79"
"20-Feb-2019","    15300.00","    15392.90","    15268.30","    15376.05","       96869677","         2635.12"
"21-Feb-2019","    15391.25","    15463.05","    15385.05","    15430.25","       82503015","         2753.47"
"22-Feb-2019","    15350.65","    15371.00","    15292.65","    15310.45","      192137358","        13407.69"
"25-Feb-2019","    15353.55","    15502.40","    15347.35","    15481.50","      109042861","         3519.64"
"26-Feb-2019","    15290.90","    15483.60","    15229.75","    15378.20","      158282149","         4700.24"
"27-Feb-2019","    15454.30","    15521.80","    15229.50","    15284.60","      146424612","         4770.46"
"28-Feb-2019","    15343.50","    15357.95","    15267.75","    15291.35","      138461710","         5790.25"
"01-Mar-2019","    15382.25","    15454.25","    15370.85","    15437.70","      114720357","         3405.10"
"05-Mar-2019","    15452.80","    15766.55","    15384.15","    15756.75","      146285426","         3912.52"
"06-Mar-2019","    15795.90","    15832.85","    15725.85","    15806.80","      153344538","         4044.77"
"07-Mar-2019","    15816.60","    15875.95","    15754.95","    15842.70","      155522170","         3647.95"
"08-Mar-2019","    15801.00","    15874.45","    15775.20","    15845.40","       95664837","         2759.92"
"11-Mar-2019","    15871.65","    16001.30","    15840.95","    15960.25","      130559772","         3446.34"
"12-Mar-2019","    16070.20","    16292.00","    16051.20","    16257.90","      149040917","         5492.46"
"13-Mar-2019","    16271.90","    16506.25","    16187.20","    16463.25","      167573529","         8096.52"
"14-Mar-2019","    16534.50","    16585.70","    16455.90","    16507.00","      142930934","         5306.81"
"15-Mar-2019","    16555.60","    16873.35","    16543.10","    16769.35","      227063522","         7872.51"
"18-Mar-2019","    16860.10","    17030.25","    16784.50","    16915.55","      147371863","         4643.48"
"19-Mar-2019","    16975.00","    17021.25","    16873.40","    17001.90","      110217993","         3414.35"
"20-Mar-2019","    17001.00","    17036.10","    16905.80","    16986.20","      110832155","         3767.12"
"22-Mar-2019","    17045.40","    17094.40","    16819.50","    16879.10","      130978512","         5193.23"
"25-Mar-2019","    16741.15","    16744.70","    16600.55","    16664.35","       85958546","         2989.28"
"26-Mar-2019","    16681.05","    17052.00","    16663.55","    17012.35","       82489037","         3236.63"
"27-Mar-2019","    17104.40","    17264.00","    16982.90","    17108.55","      180607545","         6304.38"
"28-Mar-2019","    17136.90","    17367.40","    17082.80","    17336.75","      164212066","         6590.37"
"29-Mar-2019","    17359.40","    17370.50","    17224.10","    17315.55","      118069761","         4466.76"
"01-Apr-2019","    17377.15","    17431.70","    17165.35","    17225.25","      109356446","         3823.23"
"02-Apr-2019","    17299.90","    17299.90","    17117.60","    17226.70","       87129135","         3400.66"
"03-Apr-2019","    17276.30","    17367.40","    17063.05","    17101.50","       80125643","         3306.43"
"04-Apr-2019","    17127.60","    17163.60","    16909.75","    16961.60","      101810398","         3819.35"
"05-Apr-2019","    17015.95","    17160.80","    16969.65","    17111.80","       80379191","         2854.38"
"08-Apr-2019","    17175.40","    17191.60","    16901.30","    16971.95","       71984877","         2522.38"
"09-Apr-2019","    17001.70","    17178.35","    16907.30","    17146.05","       82934096","         3387.79"
"10-Apr-2019","    17038.45","    17179.05","    16967.40","    16990.50","      106150227","         8917.20"
"11-Apr-2019","    17011.30","    17014.00","    16873.50","    16946.95","       59930456","         2349.42"
"12-Apr-2019","    16949.30","    17068.20","    16911.95","    17032.20","       54995755","         2297.64"
"15-Apr-2019","    17060.15","    17156.70","    17018.45","    17120.90","       49416662","         2362.28"
