"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","      232.75","      238.35","      232.60","      237.50","       11522316","          202.34"
"02-Jan-2019","      237.30","      238.45","      233.50","      234.10","       13243472","          237.57"
"03-Jan-2019","      234.85","      235.80","      233.30","      233.95","       10689635","          181.85"
"04-Jan-2019","      234.40","      236.75","      233.25","      235.90","       11127668","          179.14"
"07-Jan-2019","      237.75","      242.10","      237.60","      239.05","       19023899","          353.44"
"08-Jan-2019","      239.75","      241.40","      238.20","      239.00","       10623571","          188.87"
"09-Jan-2019","      240.00","      241.25","      236.70","      240.55","       10526150","          179.57"
"10-Jan-2019","      242.00","      242.95","      238.10","      239.90","       17121181","          318.54"
"11-Jan-2019","      239.85","      240.05","      236.10","      236.65","       10090606","          145.38"
"14-Jan-2019","      236.70","      236.70","      232.95","      234.35","        8314976","          112.53"
"15-Jan-2019","      235.15","      239.60","      235.00","      238.55","       12724413","          156.12"
"16-Jan-2019","      238.55","      240.20","      237.55","      238.55","        7691677","          129.82"
"17-Jan-2019","      238.70","      242.45","      238.55","      241.40","       12150984","          266.36"
"18-Jan-2019","      242.70","      242.90","      237.15","      238.30","        8696914","          189.03"
"21-Jan-2019","      238.15","      238.45","      233.95","      234.90","        8915112","          104.69"
"22-Jan-2019","      233.70","      236.95","      233.40","      236.65","       11580082","          155.32"
"23-Jan-2019","      237.30","      237.45","      234.80","      235.50","       12755063","          154.91"
"24-Jan-2019","      236.65","      242.15","      236.35","      240.60","       16911282","          213.17"
"25-Jan-2019","      240.90","      241.90","      225.40","      230.05","       26190791","          419.04"
"28-Jan-2019","      231.40","      232.00","      227.50","      229.30","       15844441","          268.77"
"29-Jan-2019","      228.90","      231.05","      226.65","      228.20","       10175972","          125.61"
"30-Jan-2019","      229.25","      229.30","      224.65","      226.50","        9483138","          159.58"
"31-Jan-2019","      227.60","      230.60","      226.20","      228.55","       16966270","          174.69"
"01-Feb-2019","      229.05","      241.40","      228.40","      231.40","       27609804","          356.94"
"04-Feb-2019","      231.75","      231.75","      227.35","      229.10","        9532729","          144.50"
"05-Feb-2019","      228.70","      230.15","      223.25","      223.95","       12293315","          194.10"
"06-Feb-2019","      224.05","      226.20","      220.65","      225.10","       16956746","          264.91"
"07-Feb-2019","      225.25","      227.45","      224.45","      224.95","       10941433","          155.54"
"08-Feb-2019","      225.45","      230.00","      223.90","      226.65","       16402286","          267.52"
"11-Feb-2019","      226.65","      226.95","      222.65","      224.35","       12401226","          133.51"
"12-Feb-2019","      223.45","      225.25","      220.75","      221.20","       10556774","          162.36"
"13-Feb-2019","      222.85","      224.60","      221.60","      222.05","       15553024","          180.89"
"14-Feb-2019","      221.80","      223.80","      220.85","      223.10","       34433497","          126.38"
"15-Feb-2019","      223.45","      224.20","      220.60","      222.55","       18021475","          153.03"
"18-Feb-2019","      223.35","      226.55","      223.30","      224.25","       19394941","          151.28"
"19-Feb-2019","      227.00","      230.60","      226.65","      228.10","       24629447","          382.32"
"20-Feb-2019","      229.50","      231.10","      226.15","      228.70","       21615845","          251.32"
"21-Feb-2019","      228.65","      230.70","      227.65","      229.60","       26714437","          236.38"
"22-Feb-2019","      230.35","      233.70","      230.15","      233.15","       21343690","          222.79"
"25-Feb-2019","      238.80","      239.65","      230.60","      231.45","       19844406","          385.05"
"26-Feb-2019","      226.85","      228.75","      223.15","      227.65","        9764122","          191.97"
"27-Feb-2019","      228.30","      231.45","      226.05","      228.00","        8524440","          162.32"
"28-Feb-2019","      227.75","      231.35","      226.85","      230.25","        8234594","          154.95"
"01-Mar-2019","      232.00","      232.80","      229.50","      230.35","        6497891","          117.37"
"05-Mar-2019","      230.70","      235.65","      230.50","      234.95","       13047846","          207.25"
"06-Mar-2019","      235.00","      239.30","      235.00","      236.85","       20195806","          353.48"
"07-Mar-2019","      237.15","      238.60","      235.45","      236.05","        9055291","          166.48"
"08-Mar-2019","      235.05","      237.55","      234.75","      236.50","        7416408","          163.31"
"11-Mar-2019","      237.35","      239.40","      237.30","      238.65","        7908521","          127.84"
"12-Mar-2019","      240.90","      247.75","      240.35","      244.90","       29654021","          482.78"
"13-Mar-2019","      246.90","      249.55","      245.80","      246.35","       24571454","          476.78"
"14-Mar-2019","      247.55","      252.35","      245.65","      251.80","       34321714","          595.81"
"15-Mar-2019","      253.30","      254.00","      250.75","      251.60","       15748008","          308.13"
"18-Mar-2019","      252.20","      259.30","      252.15","      258.70","       23035991","          495.99"
"19-Mar-2019","      259.95","      261.25","      258.10","      259.00","       20568432","          444.20"
"20-Mar-2019","      261.10","      266.30","      260.85","      265.30","       22448933","          474.84"
"22-Mar-2019","      266.00","      271.60","      265.30","      266.95","       21984040","          587.72"
"25-Mar-2019","      264.35","      264.85","      260.45","      261.80","       13051050","          356.17"
"26-Mar-2019","      263.50","      269.10","      262.80","      264.05","       36347235","          750.82"
"27-Mar-2019","      265.95","      266.35","      260.80","      262.85","       17850408","          408.28"
"28-Mar-2019","      263.95","      268.90","      263.85","      266.65","       14836835","          328.50"
"29-Mar-2019","      267.95","      271.10","      264.55","      269.20","       25529385","          531.63"
